# Simulation 107 (Up to date)
# 403 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,2.764e-5,-2.764e-5
0.051,9.561e-5,-9.561e-5
0.061,2.039e-4,-2.039e-4
0.071,3.526e-4,-3.526e-4
0.081,5.426e-4,-5.426e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,8.013e-4,-8.013e-4
0.102,0.001,-0.001
0.112,0.001,-0.001
0.122,0.002,-0.002
0.132,0.002,-0.002
0.139,0.002,-0.002
0.149,0.002,-0.002
0.159,0.003,-0.003
0.169,0.003,-0.003
0.179,0.003,-0.003
0.189,0.003,-0.003
0.192,0.003,-0.003
0.196,0.004,-0.004
0.203,0.004,-0.004
0.209,0.004,-0.004
0.216,0.004,-0.004
0.224,0.004,-0.004
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.004,-0.004
0.235,0.005,-0.005
0.24,0.005,-0.005
0.244,0.005,-0.005
0.248,0.006,-0.006
0.252,0.006,-0.006
0.257,0.007,-0.007
0.261,0.008,-0.008
0.266,0.009,-0.009
0.271,0.01,-0.01
0.276,0.011,-0.011
0.281,0.012,-0.012
0.287,0.014,-0.014
0.292,0.015,-0.015
0.298,0.017,-0.017
0.306,0.019,-0.019
0.315,0.022,-0.022
0.327,0.026,-0.026
0.345,0.031,-0.031
0.37,0.035,-0.035
0.379,0.035,-0.035
0.386,0.035,-0.035
0.393,0.035,-0.035
0.399,0.034,-0.034
0.404,0.033,-0.033
0.409,0.031,-0.031
0.414,0.03,-0.03
0.419,0.028,-0.028
0.424,0.026,-0.026
0.428,0.024,-0.024
0.433,0.021,-0.021
0.438,0.018,-0.019
0.442,0.016,-0.016
0.447,0.012,-0.012
0.451,0.009,-0.009
0.456,0.005,-0.005
0.461,8.651e-4,-9.247e-4
0.466,-0.004,0.004
0.471,-0.009,0.009
0.475,-0.013,0.013
0.481,-0.019,0.018
0.487,-0.026,0.026
0.495,-0.036,0.036
0.506,-0.049,0.049
0.522,-0.071,0.071
0.545,-0.106,0.105
0.555,-0.121,0.121
0.563,-0.133,0.132
0.57,-0.143,0.143
0.576,-0.153,0.153
0.582,-0.162,0.162
0.587,-0.171,0.171
0.593,-0.18,0.18
0.599,-0.189,0.189
0.604,-0.198,0.198
0.61,-0.207,0.207
0.616,-0.217,0.217
0.623,-0.228,0.228
0.63,-0.24,0.24
0.64,-0.255,0.255
0.652,-0.277,0.276
0.671,-0.309,0.309
0.695,-0.354,0.354
0.702,-0.368,0.368
0.71,-0.384,0.384
0.717,-0.4,0.399
0.723,-0.413,0.412
0.73,-0.428,0.428
0.737,-0.445,0.444
0.745,-0.462,0.462
0.753,-0.483,0.482
0.764,-0.508,0.508
0.779,-0.547,0.547
0.801,-0.608,0.607
0.818,-0.654,0.653
0.828,-0.682,0.682
0.838,-0.708,0.707
0.846,-0.733,0.733
0.85,-0.743,0.743
0.855,-0.759,0.758
0.863,-0.782,0.781
0.875,-0.816,0.816
0.893,-0.87,0.869
0.919,-0.953,0.952
0.934,-1,0.999
0.946,-1.039,1.038
0.957,-1.079,1.077
0.97,-1.124,1.123
0.988,-1.189,1.188
1.015,-1.29,1.289
1.035,-1.369,1.367
1.05,-1.426,1.424
1.063,-1.477,1.475
1.082,-1.555,1.553
1.111,-1.675,1.673
1.134,-1.774,1.772
1.154,-1.86,1.858
1.183,-1.993,1.991
1.211,-2.126,2.124
1.236,-2.247,2.245
1.242,-2.276,2.273
1.251,-2.319,2.316
1.264,-2.384,2.381
1.283,-2.483,2.48
1.303,-2.584,2.58
1.332,-2.738,2.735
1.376,-2.977,2.973
1.426,-3.26,3.256
1.468,-3.507,3.502
1.518,-3.812,3.807
1.568,-4.129,4.124
1.618,-4.458,4.452
1.656,-4.716,4.71
1.706,-5.066,5.059
1.756,-5.427,5.419
1.806,-5.8,5.791
1.821,-5.914,5.905
1.834,-6.014,6.005
1.847,-6.113,6.104
# Event BURNOUT occurred at t=1.86 seconds
1.86,-6.213,6.203
1.88,-6.361,6.351
1.909,-6.581,6.571
1.953,-6.904,6.893
2.003,-7.264,7.253
2.053,-7.616,7.604
2.103,-7.959,7.946
2.153,-8.295,8.281
2.203,-8.623,8.609
2.253,-8.944,8.929
2.303,-9.259,9.242
2.353,-9.566,9.549
2.403,-9.867,9.85
2.453,-10.163,10.144
2.503,-10.452,10.433
2.553,-10.736,10.716
2.603,-11.014,10.993
2.653,-11.288,11.266
2.703,-11.556,11.533
2.753,-11.819,11.796
2.803,-12.078,12.054
2.853,-12.332,12.307
2.903,-12.582,12.556
2.953,-12.828,12.801
3.003,-13.07,13.042
3.053,-13.308,13.28
3.103,-13.542,13.513
3.153,-13.773,13.743
3.203,-14,13.969
3.253,-14.224,14.192
3.303,-14.445,14.412
3.353,-14.662,14.628
3.403,-14.876,14.842
3.453,-15.088,15.052
3.503,-15.296,15.26
3.553,-15.502,15.465
3.603,-15.705,15.667
3.653,-15.906,15.867
3.703,-16.104,16.064
3.753,-16.3,16.259
3.803,-16.493,16.452
3.853,-16.684,16.642
3.903,-16.873,16.83
3.953,-17.06,17.016
4.003,-17.244,17.2
4.053,-17.427,17.381
4.103,-17.608,17.561
4.153,-17.787,17.739
4.203,-17.964,17.915
4.253,-18.139,18.09
4.303,-18.313,18.263
4.353,-18.484,18.434
4.403,-18.655,18.603
4.453,-18.823,18.771
4.503,-18.991,18.937
4.553,-19.156,19.102
4.603,-19.32,19.265
4.653,-19.483,19.427
4.703,-19.645,19.588
4.753,-19.805,19.747
4.803,-19.963,19.905
4.853,-20.121,20.061
4.903,-20.277,20.216
4.953,-20.432,20.37
5.003,-20.585,20.523
5.053,-20.738,20.675
5.103,-20.889,20.825
5.153,-21.039,20.974
5.203,-21.188,21.122
5.253,-21.336,21.269
5.303,-21.482,21.415
5.353,-21.627,21.559
5.403,-21.772,21.703
5.453,-21.915,21.845
5.503,-22.057,21.986
5.553,-22.198,22.126
5.603,-22.338,22.265
5.653,-22.476,22.403
5.703,-22.614,22.54
5.751,-22.747,22.672
5.798,-22.874,22.798
5.843,-22.995,22.919
5.886,-23.111,23.034
# Event APOGEE occurred at t=5.928 seconds
5.928,-23.224,23.146
5.969,-23.333,23.254
6.009,-23.439,23.36
6.048,-23.542,23.463
6.087,-23.644,23.564
6.125,-23.744,23.663
6.162,-23.843,23.761
6.2,-23.941,23.859
6.237,-24.039,23.957
6.275,-24.137,24.054
6.313,-24.236,24.152
6.351,-24.336,24.252
6.391,-24.439,24.354
6.431,-24.544,24.458
6.473,-24.653,24.567
6.517,-24.766,24.679
6.561,-24.879,24.791
6.599,-24.975,24.887
6.634,-25.065,24.976
6.668,-25.151,25.062
6.702,-25.237,25.147
6.737,-25.324,25.233
6.775,-25.416,25.325
6.817,-25.519,25.427
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,-25.624,25.531
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,-25.63,25.537
6.885,-25.678,25.586
6.913,-25.726,25.633
6.95,-25.769,25.675
7,-25.801,25.707
7.072,-25.81,25.715
7.187,-25.757,25.662
7.404,-25.519,25.423
7.654,-25.116,25.02
7.898,-24.659,24.563
8.141,-24.175,24.079
8.383,-23.677,23.58
8.625,-23.171,23.075
8.867,-22.662,22.566
9.108,-22.151,22.054
9.35,-21.638,21.542
9.592,-21.126,21.03
9.834,-20.613,20.517
10.076,-20.1,20.004
10.317,-19.587,19.492
10.559,-19.074,18.979
