# Simulation 109 (Up to date)
# 434 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,8.697e-5,-8.697e-5
0.051,3.004e-4,-3.004e-4
0.061,6.394e-4,-6.394e-4
0.071,0.001,-0.001
0.081,0.002,-0.002
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.002,-0.002
0.102,0.003,-0.003
0.112,0.004,-0.004
0.122,0.005,-0.005
0.132,0.006,-0.006
0.139,0.006,-0.006
0.149,0.007,-0.007
0.159,0.008,-0.008
0.169,0.009,-0.009
0.179,0.009,-0.009
0.189,0.01,-0.01
0.192,0.01,-0.01
0.196,0.011,-0.011
0.203,0.011,-0.011
0.209,0.012,-0.012
0.216,0.012,-0.012
0.224,0.013,-0.013
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.013,-0.013
0.234,0.014,-0.014
0.236,0.014,-0.014
0.239,0.014,-0.014
0.241,0.015,-0.015
0.244,0.015,-0.015
0.248,0.016,-0.016
0.251,0.017,-0.017
0.253,0.018,-0.018
0.256,0.019,-0.019
0.259,0.02,-0.02
0.262,0.021,-0.021
0.265,0.022,-0.022
0.268,0.023,-0.023
0.271,0.024,-0.024
0.274,0.026,-0.026
0.277,0.027,-0.027
0.28,0.029,-0.029
0.284,0.031,-0.031
0.288,0.033,-0.033
0.292,0.035,-0.035
0.296,0.038,-0.038
0.301,0.041,-0.041
0.307,0.044,-0.044
0.313,0.048,-0.048
0.322,0.053,-0.053
0.334,0.06,-0.06
0.353,0.07,-0.07
0.363,0.073,-0.073
0.37,0.075,-0.075
0.375,0.077,-0.077
0.38,0.077,-0.077
0.385,0.078,-0.078
0.389,0.078,-0.078
0.393,0.078,-0.078
0.397,0.077,-0.077
0.4,0.077,-0.077
0.404,0.076,-0.076
0.407,0.075,-0.075
0.41,0.074,-0.074
0.414,0.073,-0.073
0.417,0.072,-0.072
0.42,0.07,-0.07
0.423,0.069,-0.069
0.426,0.067,-0.067
0.43,0.065,-0.065
0.433,0.063,-0.063
0.436,0.06,-0.06
0.439,0.058,-0.058
0.442,0.055,-0.055
0.445,0.052,-0.052
0.448,0.049,-0.049
0.451,0.046,-0.046
0.455,0.042,-0.042
0.458,0.039,-0.039
0.461,0.034,-0.035
0.465,0.03,-0.03
0.469,0.025,-0.025
0.475,0.016,-0.017
0.479,0.01,-0.01
0.484,0.003,-0.003
0.489,-0.006,0.006
0.496,-0.016,0.016
0.504,-0.03,0.03
0.515,-0.053,0.053
0.533,-0.089,0.089
0.544,-0.111,0.111
0.551,-0.126,0.126
0.556,-0.139,0.139
0.562,-0.15,0.15
0.566,-0.161,0.16
0.571,-0.171,0.17
0.575,-0.18,0.18
0.579,-0.19,0.189
0.583,-0.199,0.199
0.587,-0.208,0.208
0.591,-0.217,0.217
0.595,-0.226,0.226
0.599,-0.235,0.235
0.603,-0.245,0.245
0.607,-0.255,0.254
0.612,-0.265,0.265
0.616,-0.275,0.275
0.621,-0.287,0.287
0.627,-0.3,0.3
0.633,-0.315,0.314
0.64,-0.333,0.332
0.651,-0.359,0.358
0.666,-0.399,0.399
0.671,-0.411,0.411
0.678,-0.431,0.43
0.688,-0.458,0.458
0.695,-0.479,0.478
0.702,-0.499,0.499
0.708,-0.516,0.516
0.713,-0.533,0.533
0.718,-0.55,0.549
0.723,-0.565,0.565
0.728,-0.582,0.582
0.733,-0.6,0.6
0.739,-0.619,0.619
0.745,-0.64,0.639
0.751,-0.663,0.663
0.759,-0.691,0.691
0.769,-0.729,0.729
0.784,-0.788,0.787
0.807,-0.879,0.878
0.816,-0.917,0.916
0.824,-0.948,0.947
0.831,-0.977,0.976
0.838,-1.005,1.004
0.844,-1.033,1.032
0.85,-1.058,1.057
0.857,-1.09,1.089
0.866,-1.127,1.126
0.877,-1.175,1.174
0.893,-1.249,1.248
0.917,-1.364,1.363
0.928,-1.417,1.416
0.937,-1.461,1.46
0.946,-1.505,1.504
0.954,-1.55,1.549
0.964,-1.601,1.6
0.976,-1.667,1.666
0.995,-1.769,1.768
1.023,-1.927,1.926
1.035,-1.997,1.995
1.046,-2.062,2.061
1.058,-2.133,2.132
1.063,-2.166,2.164
1.071,-2.216,2.214
1.083,-2.291,2.289
1.102,-2.406,2.404
1.123,-2.541,2.539
1.137,-2.636,2.634
1.153,-2.743,2.741
1.177,-2.909,2.907
1.211,-3.153,3.15
1.23,-3.292,3.29
1.242,-3.381,3.378
1.26,-3.515,3.512
1.287,-3.721,3.718
1.303,-3.85,3.847
1.328,-4.046,4.043
1.364,-4.35,4.346
1.4,-4.654,4.651
1.45,-5.096,5.091
1.468,-5.258,5.254
1.495,-5.507,5.502
1.535,-5.889,5.884
1.585,-6.38,6.374
1.635,-6.889,6.883
1.656,-7.107,7.1
1.687,-7.439,7.432
1.734,-7.951,7.944
1.784,-8.514,8.506
1.821,-8.939,8.93
1.834,-9.092,9.083
1.847,-9.244,9.235
# Event BURNOUT occurred at t=1.86 seconds
1.86,-9.397,9.387
1.88,-9.623,9.614
1.909,-9.959,9.949
1.953,-10.453,10.443
2.003,-11.004,10.992
2.053,-11.541,11.528
2.103,-12.065,12.052
2.153,-12.576,12.562
2.203,-13.076,13.062
2.253,-13.565,13.55
2.303,-14.043,14.027
2.353,-14.511,14.494
2.403,-14.968,14.951
2.453,-15.417,15.398
2.503,-15.856,15.836
2.553,-16.286,16.266
2.603,-16.708,16.687
2.653,-17.121,17.1
2.703,-17.527,17.504
2.753,-17.925,17.902
2.803,-18.316,18.292
2.853,-18.7,18.675
2.903,-19.077,19.051
2.953,-19.447,19.421
3.003,-19.812,19.784
3.053,-20.17,20.141
3.103,-20.522,20.493
3.153,-20.868,20.838
3.203,-21.209,21.179
3.253,-21.545,21.513
3.303,-21.875,21.843
3.353,-22.201,22.168
3.403,-22.522,22.488
3.453,-22.838,22.803
3.503,-23.149,23.113
3.553,-23.456,23.42
3.603,-23.759,23.722
3.653,-24.058,24.02
3.703,-24.353,24.314
3.753,-24.643,24.604
3.803,-24.931,24.89
3.853,-25.214,25.173
3.903,-25.494,25.452
3.953,-25.771,25.728
4.003,-26.044,26
4.053,-26.314,26.269
4.103,-26.581,26.535
4.153,-26.845,26.799
4.203,-27.106,27.059
4.253,-27.364,27.316
4.303,-27.62,27.57
4.353,-27.872,27.822
4.403,-28.122,28.072
4.453,-28.37,28.318
4.503,-28.615,28.562
4.553,-28.857,28.804
4.603,-29.097,29.043
4.653,-29.335,29.28
4.703,-29.571,29.515
4.753,-29.804,29.748
4.803,-30.036,29.978
4.853,-30.265,30.207
4.903,-30.492,30.433
4.953,-30.718,30.658
5.003,-30.941,30.88
5.053,-31.162,31.101
5.103,-31.382,31.32
5.153,-31.6,31.537
5.203,-31.816,31.752
5.253,-32.03,31.966
5.303,-32.243,32.177
5.353,-32.454,32.388
5.403,-32.664,32.596
5.453,-32.871,32.803
5.503,-33.078,33.009
5.553,-33.283,33.213
5.603,-33.486,33.416
5.653,-33.689,33.617
5.703,-33.889,33.817
5.753,-34.089,34.016
# Event APOGEE occurred at t=5.803 seconds
5.803,-34.287,34.214
5.853,-34.484,34.41
5.903,-34.68,34.605
5.953,-34.875,34.799
6.003,-35.068,34.991
6.053,-35.261,35.183
6.103,-35.452,35.373
6.153,-35.642,35.563
6.203,-35.831,35.751
6.253,-36.018,35.938
6.303,-36.205,36.123
6.353,-36.39,36.308
6.403,-36.574,36.491
6.453,-36.757,36.673
6.503,-36.938,36.853
6.553,-37.118,37.033
