# Simulation 44 (Up to date)
# 473 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,3.341e-5,-3.341e-5
0.051,1.166e-4,-1.166e-4
0.061,2.506e-4,-2.506e-4
0.071,4.356e-4,-4.356e-4
0.081,6.723e-4,-6.723e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,9.943e-4,-9.943e-4
0.102,0.001,-0.001
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.002,-0.002
0.139,0.003,-0.003
0.149,0.003,-0.003
0.159,0.003,-0.003
0.169,0.003,-0.003
0.179,0.004,-0.004
0.189,0.004,-0.004
0.192,0.004,-0.004
0.196,0.004,-0.004
0.203,0.005,-0.005
0.209,0.005,-0.005
0.216,0.005,-0.005
0.224,0.005,-0.005
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.005,-0.005
0.235,0.006,-0.006
0.239,0.006,-0.006
0.242,0.006,-0.006
0.248,0.007,-0.007
0.252,0.008,-0.008
0.256,0.008,-0.008
0.26,0.009,-0.009
0.264,0.01,-0.01
0.268,0.011,-0.011
0.272,0.012,-0.012
0.277,0.013,-0.013
0.281,0.015,-0.015
0.286,0.016,-0.016
0.292,0.018,-0.018
0.297,0.02,-0.02
0.303,0.022,-0.022
0.31,0.025,-0.025
0.319,0.028,-0.028
0.331,0.032,-0.032
0.349,0.038,-0.038
0.37,0.042,-0.042
0.378,0.043,-0.043
0.384,0.043,-0.043
0.39,0.043,-0.043
0.395,0.042,-0.042
0.4,0.041,-0.041
0.405,0.04,-0.04
0.41,0.039,-0.039
0.414,0.037,-0.038
0.419,0.036,-0.036
0.423,0.034,-0.034
0.427,0.032,-0.032
0.431,0.029,-0.029
0.436,0.027,-0.027
0.44,0.024,-0.024
0.444,0.021,-0.021
0.449,0.017,-0.017
0.453,0.013,-0.013
0.458,0.009,-0.009
0.462,0.005,-0.005
0.467,-1.173e-4,4.852e-5
0.472,-0.006,0.006
0.475,-0.009,0.009
0.479,-0.014,0.014
0.485,-0.021,0.021
0.492,-0.03,0.03
0.501,-0.042,0.042
0.513,-0.06,0.06
0.532,-0.09,0.09
0.554,-0.128,0.128
0.563,-0.143,0.143
0.57,-0.156,0.156
0.577,-0.168,0.168
0.583,-0.18,0.18
0.59,-0.191,0.191
0.596,-0.203,0.202
0.602,-0.214,0.214
0.608,-0.226,0.226
0.615,-0.239,0.239
0.622,-0.253,0.252
0.63,-0.268,0.268
0.64,-0.288,0.288
0.654,-0.317,0.316
0.671,-0.351,0.351
0.696,-0.406,0.406
0.702,-0.42,0.42
0.711,-0.442,0.442
0.723,-0.471,0.471
0.734,-0.499,0.498
0.743,-0.524,0.523
0.752,-0.548,0.548
0.762,-0.574,0.573
0.771,-0.602,0.602
0.783,-0.635,0.635
0.798,-0.681,0.681
0.82,-0.754,0.753
0.847,-0.841,0.841
0.85,-0.852,0.851
0.855,-0.869,0.868
0.862,-0.893,0.892
0.87,-0.923,0.922
0.878,-0.95,0.95
0.886,-0.978,0.977
0.895,-1.008,1.007
0.904,-1.042,1.041
0.918,-1.093,1.092
0.939,-1.172,1.171
0.948,-1.208,1.207
0.956,-1.238,1.236
0.962,-1.264,1.263
0.968,-1.29,1.289
0.975,-1.316,1.314
0.981,-1.343,1.342
0.988,-1.373,1.371
0.996,-1.408,1.407
1.007,-1.455,1.454
1.023,-1.528,1.527
1.047,-1.64,1.638
1.055,-1.678,1.677
1.063,-1.717,1.715
1.07,-1.751,1.749
1.077,-1.786,1.784
1.086,-1.825,1.824
1.096,-1.875,1.873
1.111,-1.95,1.948
1.134,-2.066,2.064
1.152,-2.158,2.155
1.164,-2.224,2.222
1.176,-2.285,2.283
1.188,-2.352,2.349
1.204,-2.445,2.443
1.211,-2.482,2.48
1.221,-2.538,2.535
1.235,-2.623,2.62
1.242,-2.661,2.658
1.252,-2.719,2.716
1.265,-2.797,2.794
1.285,-2.916,2.913
1.303,-3.026,3.023
1.325,-3.167,3.163
1.359,-3.383,3.38
1.409,-3.717,3.713
1.445,-3.967,3.963
1.463,-4.093,4.089
1.468,-4.13,4.125
1.476,-4.184,4.18
1.487,-4.267,4.262
1.504,-4.392,4.387
1.521,-4.519,4.514
1.546,-4.712,4.706
1.574,-4.926,4.92
1.615,-5.255,5.249
1.656,-5.587,5.58
1.683,-5.81,5.803
1.704,-5.994,5.987
1.737,-6.276,6.269
1.75,-6.395,6.388
1.768,-6.557,6.549
1.796,-6.804,6.796
1.811,-6.944,6.935
1.821,-7.035,7.027
1.834,-7.156,7.147
1.847,-7.277,7.268
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.397,7.388
1.88,-7.576,7.567
1.909,-7.842,7.831
1.931,-8.04,8.029
1.959,-8.294,8.283
1.986,-8.526,8.515
2,-8.644,8.632
2.02,-8.816,8.804
2.05,-9.072,9.059
2.067,-9.21,9.198
2.085,-9.363,9.35
2.113,-9.589,9.576
2.136,-9.778,9.764
2.155,-9.929,9.915
2.183,-10.152,10.138
2.225,-10.483,10.468
2.238,-10.583,10.568
2.25,-10.678,10.663
2.266,-10.799,10.783
2.29,-10.977,10.961
2.299,-11.049,11.033
2.308,-11.115,11.099
2.317,-11.182,11.165
2.327,-11.256,11.239
2.341,-11.357,11.34
2.361,-11.508,11.49
2.373,-11.589,11.572
2.38,-11.64,11.623
2.386,-11.686,11.669
2.392,-11.731,11.713
2.399,-11.777,11.759
2.406,-11.827,11.809
2.414,-11.887,11.869
2.427,-11.977,11.959
2.445,-12.111,12.092
2.459,-12.21,12.191
2.469,-12.275,12.256
2.477,-12.336,12.317
2.487,-12.399,12.38
2.497,-12.474,12.455
2.514,-12.586,12.567
2.538,-12.752,12.732
2.575,-12.995,12.975
2.588,-13.082,13.061
2.601,-13.173,13.152
2.62,-13.299,13.278
2.649,-13.486,13.464
2.664,-13.586,13.564
2.679,-13.676,13.654
2.695,-13.781,13.759
2.72,-13.938,13.915
2.743,-14.081,14.058
2.754,-14.152,14.129
2.766,-14.223,14.2
2.78,-14.314,14.29
2.802,-14.449,14.425
2.835,-14.65,14.625
2.859,-14.793,14.768
2.881,-14.926,14.901
2.903,-15.057,15.032
2.936,-15.252,15.226
2.974,-15.47,15.443
2.997,-15.605,15.577
3.032,-15.805,15.778
3.059,-15.954,15.926
3.076,-16.052,16.024
3.099,-16.176,16.147
3.132,-16.36,16.331
3.182,-16.631,16.601
3.232,-16.897,16.867
3.265,-17.071,17.039
3.287,-17.187,17.155
3.321,-17.361,17.329
3.371,-17.618,17.585
3.394,-17.734,17.7
3.419,-17.862,17.828
3.458,-18.054,18.019
3.473,-18.131,18.096
3.493,-18.226,18.191
3.522,-18.369,18.334
3.566,-18.581,18.545
3.589,-18.693,18.656
3.604,-18.765,18.728
3.618,-18.832,18.795
3.634,-18.907,18.87
3.655,-19.003,18.965
3.686,-19.146,19.108
3.707,-19.245,19.206
3.723,-19.317,19.278
3.743,-19.409,19.37
3.773,-19.546,19.506
3.818,-19.749,19.708
3.868,-19.971,19.93
3.918,-20.191,20.149
3.968,-20.409,20.366
4.018,-20.624,20.58
4.057,-20.788,20.744
4.107,-20.998,20.952
4.153,-21.19,21.144
4.203,-21.396,21.349
4.253,-21.6,21.552
4.303,-21.802,21.753
4.348,-21.979,21.93
4.398,-22.177,22.127
4.448,-22.372,22.322
4.498,-22.566,22.514
4.535,-22.707,22.654
4.578,-22.871,22.818
4.628,-23.059,23.005
4.678,-23.245,23.19
