# Simulation 38 (Up to date)
# 480 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.79e-5,-4.79e-5
0.051,1.64e-4,-1.64e-4
0.061,3.459e-4,-3.459e-4
0.071,5.914e-4,-5.914e-4
0.081,8.991e-4,-8.991e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.003,-0.003
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.004,-0.004
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.006,-0.006
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.007,-0.007
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.007,-0.007
0.241,0.008,-0.008
0.245,0.008,-0.008
0.248,0.009,-0.009
0.251,0.009,-0.009
0.255,0.01,-0.01
0.259,0.011,-0.011
0.262,0.012,-0.012
0.266,0.013,-0.013
0.27,0.014,-0.014
0.274,0.015,-0.015
0.278,0.017,-0.017
0.283,0.018,-0.018
0.288,0.02,-0.02
0.292,0.022,-0.022
0.298,0.024,-0.024
0.304,0.026,-0.026
0.312,0.03,-0.03
0.323,0.034,-0.034
0.339,0.04,-0.04
0.363,0.046,-0.046
0.37,0.047,-0.047
0.377,0.048,-0.048
0.383,0.048,-0.048
0.388,0.048,-0.048
0.393,0.047,-0.047
0.397,0.046,-0.046
0.402,0.046,-0.046
0.406,0.044,-0.044
0.41,0.043,-0.043
0.414,0.042,-0.042
0.418,0.04,-0.04
0.422,0.038,-0.038
0.426,0.036,-0.036
0.43,0.033,-0.033
0.434,0.031,-0.031
0.439,0.028,-0.028
0.443,0.024,-0.025
0.447,0.021,-0.021
0.452,0.017,-0.017
0.457,0.012,-0.012
0.462,0.007,-0.007
0.467,0.002,-0.002
0.475,-0.007,0.007
0.482,-0.016,0.016
0.491,-0.027,0.027
0.504,-0.046,0.046
0.524,-0.076,0.076
0.549,-0.117,0.116
0.558,-0.133,0.133
0.566,-0.147,0.147
0.573,-0.16,0.159
0.58,-0.171,0.171
0.586,-0.183,0.183
0.592,-0.194,0.194
0.598,-0.206,0.206
0.605,-0.218,0.217
0.611,-0.23,0.23
0.618,-0.243,0.242
0.625,-0.257,0.256
0.633,-0.272,0.272
0.643,-0.291,0.291
0.656,-0.318,0.318
0.671,-0.35,0.35
0.693,-0.401,0.4
0.702,-0.421,0.421
0.709,-0.439,0.439
0.715,-0.455,0.455
0.723,-0.475,0.475
0.728,-0.49,0.489
0.734,-0.505,0.504
0.739,-0.52,0.519
0.745,-0.536,0.535
0.751,-0.553,0.552
0.757,-0.572,0.572
0.765,-0.595,0.595
0.775,-0.628,0.627
0.791,-0.678,0.677
0.814,-0.756,0.755
0.821,-0.781,0.78
0.828,-0.803,0.802
0.834,-0.823,0.822
0.839,-0.842,0.841
0.845,-0.861,0.861
0.85,-0.879,0.879
0.856,-0.9,0.899
0.862,-0.922,0.921
0.869,-0.947,0.947
0.878,-0.98,0.979
0.892,-1.03,1.029
0.913,-1.107,1.106
0.923,-1.146,1.145
0.93,-1.175,1.174
0.936,-1.201,1.2
0.943,-1.226,1.225
0.949,-1.251,1.25
0.955,-1.277,1.276
0.962,-1.306,1.305
0.97,-1.343,1.342
0.983,-1.4,1.399
1.002,-1.487,1.486
1.014,-1.541,1.54
1.022,-1.58,1.579
1.03,-1.615,1.614
1.037,-1.65,1.649
1.045,-1.687,1.685
1.054,-1.728,1.727
1.063,-1.773,1.771
1.077,-1.84,1.839
1.098,-1.944,1.942
1.109,-2,1.998
1.118,-2.049,2.047
1.127,-2.097,2.095
1.137,-2.152,2.15
1.151,-2.226,2.224
1.171,-2.339,2.336
1.196,-2.478,2.476
1.207,-2.546,2.543
1.211,-2.567,2.564
1.216,-2.598,2.596
1.225,-2.646,2.643
1.237,-2.718,2.715
1.242,-2.75,2.747
1.25,-2.797,2.794
1.262,-2.869,2.866
1.276,-2.953,2.95
1.285,-3.013,3.01
1.294,-3.071,3.068
1.303,-3.127,3.124
1.316,-3.212,3.209
1.336,-3.343,3.339
1.347,-3.417,3.414
1.356,-3.476,3.473
1.366,-3.542,3.539
1.381,-3.643,3.639
1.403,-3.795,3.791
1.418,-3.902,3.898
1.441,-4.064,4.06
1.468,-4.258,4.253
1.506,-4.541,4.536
1.556,-4.925,4.92
1.606,-5.323,5.317
1.656,-5.734,5.727
1.706,-6.161,6.154
1.756,-6.602,6.594
1.806,-7.057,7.048
1.821,-7.196,7.187
1.834,-7.317,7.308
1.847,-7.439,7.43
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.561,7.551
1.88,-7.742,7.732
1.905,-7.979,7.969
1.944,-8.328,8.318
1.994,-8.769,8.758
2.044,-9.199,9.187
2.094,-9.619,9.606
2.144,-10.028,10.015
2.194,-10.428,10.414
2.244,-10.82,10.805
2.282,-11.114,11.098
2.327,-11.447,11.431
2.336,-11.519,11.502
2.346,-11.589,11.572
2.357,-11.669,11.652
2.373,-11.788,11.77
2.387,-11.886,11.869
2.394,-11.941,11.924
2.401,-11.991,11.973
2.408,-12.04,12.022
2.416,-12.096,12.078
2.425,-12.167,12.149
2.44,-12.275,12.256
2.463,-12.434,12.415
2.472,-12.497,12.479
2.48,-12.551,12.532
2.487,-12.603,12.584
2.495,-12.658,12.638
2.504,-12.72,12.7
2.516,-12.803,12.784
2.534,-12.928,12.909
2.558,-13.091,13.071
2.568,-13.154,13.134
2.576,-13.209,13.189
2.584,-13.264,13.243
2.593,-13.322,13.302
2.603,-13.391,13.371
2.618,-13.493,13.472
2.641,-13.643,13.622
2.659,-13.76,13.738
2.669,-13.825,13.803
2.677,-13.881,13.859
2.686,-13.934,13.912
2.695,-13.99,13.967
2.705,-14.054,14.031
2.72,-14.149,14.126
2.742,-14.291,14.268
2.752,-14.354,14.331
2.761,-14.408,14.384
2.77,-14.464,14.44
2.78,-14.527,14.503
2.793,-14.61,14.586
2.813,-14.733,14.709
2.843,-14.917,14.892
2.861,-15.025,15
2.885,-15.166,15.141
2.92,-15.376,15.35
2.963,-15.63,15.603
2.984,-15.748,15.721
3.015,-15.924,15.896
3.058,-16.167,16.139
3.091,-16.356,16.327
3.141,-16.632,16.602
3.191,-16.903,16.872
3.241,-17.169,17.138
3.291,-17.43,17.398
3.33,-17.632,17.599
3.357,-17.77,17.737
3.387,-17.923,17.89
3.42,-18.088,18.054
3.469,-18.333,18.298
3.489,-18.434,18.399
3.505,-18.511,18.476
3.522,-18.593,18.557
3.547,-18.715,18.679
3.585,-18.896,18.859
3.635,-19.132,19.095
3.685,-19.366,19.328
3.735,-19.597,19.558
3.785,-19.825,19.785
3.835,-20.05,20.01
3.885,-20.273,20.231
3.935,-20.492,20.449
3.979,-20.685,20.642
4.016,-20.844,20.801
4.064,-21.052,21.008
4.114,-21.265,21.219
4.131,-21.334,21.289
4.146,-21.396,21.35
4.16,-21.456,21.41
4.177,-21.524,21.477
4.199,-21.613,21.566
4.232,-21.746,21.699
4.274,-21.918,21.87
4.294,-21.996,21.948
4.313,-22.073,22.024
4.332,-22.15,22.101
4.353,-22.233,22.183
4.378,-22.333,22.283
4.415,-22.482,22.432
4.452,-22.628,22.577
4.471,-22.701,22.649
4.496,-22.801,22.749
4.535,-22.951,22.898
