# Simulation 110 (Up to date)
# 452 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,1.353e-4,-1.353e-4
0.051,4.669e-4,-4.669e-4
0.061,9.926e-4,-9.926e-4
0.071,0.002,-0.002
0.081,0.003,-0.003
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.004,-0.004
0.102,0.005,-0.005
0.112,0.006,-0.006
0.122,0.007,-0.007
0.132,0.009,-0.009
0.139,0.01,-0.01
0.149,0.011,-0.011
0.159,0.012,-0.012
0.169,0.013,-0.013
0.179,0.014,-0.014
0.189,0.016,-0.016
0.192,0.016,-0.016
0.196,0.017,-0.017
0.203,0.017,-0.017
0.209,0.018,-0.018
0.216,0.019,-0.019
0.224,0.02,-0.02
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.021,-0.021
0.234,0.021,-0.021
0.236,0.022,-0.022
0.239,0.022,-0.022
0.241,0.023,-0.023
0.244,0.023,-0.023
0.248,0.025,-0.025
0.251,0.026,-0.026
0.253,0.027,-0.027
0.256,0.028,-0.028
0.258,0.029,-0.029
0.261,0.03,-0.03
0.263,0.031,-0.031
0.266,0.032,-0.032
0.268,0.034,-0.034
0.271,0.035,-0.035
0.273,0.037,-0.037
0.276,0.039,-0.039
0.279,0.041,-0.041
0.282,0.043,-0.043
0.285,0.045,-0.045
0.288,0.047,-0.047
0.292,0.05,-0.05
0.296,0.052,-0.052
0.3,0.056,-0.056
0.305,0.059,-0.059
0.31,0.064,-0.064
0.317,0.069,-0.069
0.328,0.077,-0.077
0.343,0.088,-0.088
0.357,0.096,-0.096
0.363,0.099,-0.099
0.37,0.102,-0.102
0.374,0.104,-0.104
0.378,0.105,-0.105
0.382,0.106,-0.106
0.386,0.106,-0.106
0.389,0.106,-0.106
0.392,0.107,-0.107
0.396,0.107,-0.107
0.399,0.106,-0.106
0.402,0.106,-0.106
0.405,0.106,-0.106
0.408,0.105,-0.105
0.41,0.104,-0.104
0.413,0.103,-0.103
0.416,0.102,-0.102
0.419,0.101,-0.101
0.421,0.099,-0.099
0.424,0.098,-0.098
0.427,0.096,-0.096
0.429,0.094,-0.094
0.432,0.092,-0.093
0.435,0.09,-0.09
0.437,0.088,-0.088
0.44,0.086,-0.086
0.443,0.083,-0.083
0.446,0.08,-0.081
0.448,0.078,-0.078
0.451,0.074,-0.075
0.454,0.071,-0.071
0.457,0.068,-0.068
0.46,0.064,-0.064
0.463,0.06,-0.06
0.466,0.055,-0.055
0.469,0.051,-0.051
0.475,0.042,-0.042
0.479,0.036,-0.036
0.483,0.029,-0.029
0.488,0.021,-0.021
0.493,0.011,-0.011
0.499,-0.002,0.002
0.509,-0.02,0.02
0.522,-0.05,0.05
0.543,-0.098,0.097
0.549,-0.112,0.112
0.554,-0.124,0.124
0.558,-0.136,0.135
0.563,-0.146,0.146
0.567,-0.156,0.156
0.571,-0.166,0.166
0.574,-0.175,0.175
0.578,-0.184,0.184
0.581,-0.194,0.193
0.585,-0.203,0.202
0.588,-0.211,0.211
0.592,-0.22,0.22
0.595,-0.23,0.229
0.599,-0.239,0.238
0.603,-0.248,0.248
0.606,-0.258,0.257
0.61,-0.268,0.267
0.614,-0.278,0.278
0.618,-0.29,0.289
0.623,-0.302,0.302
0.628,-0.316,0.315
0.634,-0.332,0.331
0.641,-0.352,0.352
0.652,-0.382,0.382
0.671,-0.438,0.437
0.683,-0.474,0.473
0.69,-0.496,0.496
0.695,-0.515,0.515
0.702,-0.537,0.537
0.707,-0.554,0.554
0.712,-0.571,0.571
0.716,-0.588,0.587
0.723,-0.613,0.612
0.728,-0.63,0.63
0.732,-0.648,0.648
0.737,-0.667,0.667
0.743,-0.688,0.688
0.748,-0.711,0.711
0.755,-0.738,0.738
0.763,-0.772,0.772
0.775,-0.824,0.823
0.793,-0.903,0.903
0.807,-0.968,0.968
0.815,-1.005,1.004
0.822,-1.037,1.036
0.828,-1.066,1.066
0.834,-1.095,1.094
0.84,-1.123,1.123
0.846,-1.153,1.152
0.85,-1.174,1.173
0.856,-1.206,1.205
0.864,-1.244,1.243
0.874,-1.293,1.293
0.889,-1.369,1.368
0.911,-1.487,1.486
0.922,-1.547,1.546
0.93,-1.595,1.594
0.938,-1.64,1.638
0.946,-1.684,1.683
0.953,-1.731,1.73
0.962,-1.785,1.784
0.974,-1.853,1.852
0.99,-1.958,1.957
1.015,-2.12,2.119
1.027,-2.198,2.197
1.037,-2.266,2.264
1.047,-2.334,2.332
1.059,-2.412,2.41
1.063,-2.443,2.441
1.07,-2.489,2.488
1.08,-2.56,2.558
1.095,-2.668,2.666
1.117,-2.834,2.832
1.13,-2.932,2.93
1.144,-3.036,3.034
1.162,-3.179,3.177
1.19,-3.4,3.397
1.211,-3.576,3.574
1.228,-3.72,3.718
1.242,-3.838,3.836
1.263,-4.018,4.015
1.294,-4.295,4.291
1.303,-4.378,4.374
1.317,-4.504,4.5
1.337,-4.696,4.692
1.368,-4.991,4.987
1.399,-5.292,5.288
1.445,-5.759,5.755
1.468,-5.998,5.994
1.502,-6.366,6.361
1.552,-6.917,6.912
1.602,-7.49,7.484
1.652,-8.083,8.077
1.656,-8.127,8.12
1.661,-8.192,8.186
1.669,-8.291,8.284
1.682,-8.44,8.433
1.7,-8.666,8.659
1.727,-9.01,9.003
1.768,-9.538,9.53
1.818,-10.199,10.191
1.821,-10.237,10.228
1.825,-10.294,10.285
1.834,-10.413,10.404
1.847,-10.589,10.579
# Event BURNOUT occurred at t=1.86 seconds
1.86,-10.764,10.755
1.88,-11.025,11.015
1.909,-11.412,11.402
1.953,-11.981,11.97
2.003,-12.614,12.602
2.053,-13.231,13.219
2.103,-13.834,13.821
2.153,-14.422,14.408
2.203,-14.997,14.982
2.253,-15.558,15.543
2.303,-16.107,16.091
2.353,-16.643,16.627
2.403,-17.169,17.151
2.453,-17.683,17.664
2.503,-18.186,18.167
2.553,-18.679,18.659
2.603,-19.162,19.141
2.653,-19.636,19.614
2.703,-20.1,20.078
2.753,-20.555,20.532
2.803,-21.002,20.978
2.853,-21.441,21.416
2.903,-21.872,21.846
2.953,-22.295,22.269
3.003,-22.711,22.684
3.053,-23.119,23.092
3.103,-23.521,23.492
3.153,-23.916,23.887
3.203,-24.305,24.274
3.253,-24.687,24.656
3.303,-25.063,25.031
3.353,-25.434,25.401
3.403,-25.798,25.765
3.453,-26.158,26.123
3.503,-26.512,26.477
3.553,-26.86,26.825
3.603,-27.204,27.168
3.653,-27.543,27.506
3.703,-27.878,27.839
3.753,-28.207,28.168
3.803,-28.533,28.493
3.853,-28.854,28.813
3.903,-29.171,29.129
3.953,-29.483,29.441
4.003,-29.792,29.749
4.053,-30.098,30.054
4.103,-30.399,30.354
4.153,-30.697,30.651
4.203,-30.991,30.945
4.253,-31.282,31.235
4.303,-31.57,31.522
4.353,-31.855,31.806
4.403,-32.136,32.086
4.453,-32.414,32.364
4.503,-32.69,32.638
4.553,-32.962,32.91
4.603,-33.232,33.179
4.653,-33.499,33.445
4.703,-33.763,33.709
4.753,-34.025,33.97
4.803,-34.284,34.228
4.853,-34.54,34.484
4.903,-34.795,34.737
4.953,-35.047,34.988
5.003,-35.296,35.237
5.053,-35.543,35.484
5.103,-35.789,35.728
5.153,-36.032,35.97
5.203,-36.273,36.21
5.253,-36.511,36.448
5.303,-36.748,36.685
5.353,-36.983,36.919
5.403,-37.216,37.151
5.453,-37.447,37.381
5.503,-37.677,37.61
5.553,-37.904,37.837
