# Simulation 18 (Up to date)
# 443 data points written for 3 variables.
#
# Time (s),Position East of launch (m),Position North of launch (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0,0
0.031,0,0
0.041,4.178e-5,-4.178e-5
0.051,1.438e-4,-1.438e-4
0.061,3.055e-4,-3.055e-4
0.071,5.284e-4,-5.284e-4
0.081,8.151e-4,-8.151e-4
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.001,-0.001
0.102,0.002,-0.002
0.112,0.002,-0.002
0.122,0.002,-0.002
0.132,0.003,-0.003
0.139,0.003,-0.003
0.149,0.003,-0.003
0.159,0.004,-0.004
0.169,0.004,-0.004
0.179,0.005,-0.005
0.189,0.005,-0.005
0.192,0.005,-0.005
0.196,0.005,-0.005
0.203,0.006,-0.006
0.209,0.006,-0.006
0.216,0.006,-0.006
0.224,0.006,-0.006
# Event LAUNCHROD occurred at t=0.231 seconds
0.231,0.007,-0.007
0.234,0.007,-0.007
0.238,0.007,-0.007
0.241,0.007,-0.007
0.244,0.008,-0.008
0.248,0.009,-0.009
0.251,0.009,-0.009
0.255,0.01,-0.01
0.258,0.011,-0.011
0.261,0.011,-0.011
0.265,0.012,-0.012
0.269,0.014,-0.014
0.272,0.015,-0.015
0.276,0.016,-0.016
0.281,0.018,-0.018
0.285,0.019,-0.019
0.292,0.022,-0.022
0.298,0.024,-0.024
0.304,0.027,-0.027
0.312,0.03,-0.03
0.322,0.035,-0.035
0.339,0.041,-0.041
0.363,0.048,-0.048
0.37,0.049,-0.049
0.376,0.049,-0.049
0.382,0.049,-0.049
0.387,0.049,-0.049
0.392,0.048,-0.048
0.396,0.048,-0.048
0.401,0.047,-0.047
0.405,0.045,-0.045
0.409,0.044,-0.044
0.413,0.042,-0.043
0.417,0.041,-0.041
0.421,0.039,-0.039
0.425,0.036,-0.037
0.429,0.034,-0.034
0.433,0.031,-0.031
0.437,0.029,-0.029
0.441,0.025,-0.026
0.445,0.022,-0.022
0.449,0.018,-0.018
0.454,0.014,-0.014
0.458,0.01,-0.01
0.463,0.005,-0.005
0.468,-6.088e-4,5.443e-4
0.475,-0.009,0.009
0.482,-0.017,0.017
0.489,-0.028,0.028
0.501,-0.044,0.044
0.517,-0.07,0.07
0.542,-0.111,0.111
0.55,-0.124,0.124
0.556,-0.135,0.135
0.562,-0.146,0.145
0.568,-0.156,0.155
0.573,-0.165,0.165
0.578,-0.175,0.175
0.584,-0.185,0.185
0.589,-0.195,0.195
0.595,-0.205,0.205
0.601,-0.216,0.216
0.607,-0.228,0.228
0.614,-0.241,0.24
0.622,-0.255,0.255
0.631,-0.273,0.273
0.644,-0.299,0.299
0.663,-0.339,0.339
0.671,-0.356,0.356
0.683,-0.382,0.382
0.693,-0.406,0.406
0.702,-0.429,0.428
0.71,-0.448,0.447
0.717,-0.466,0.466
0.723,-0.483,0.483
0.73,-0.502,0.502
0.737,-0.523,0.522
0.746,-0.546,0.545
0.755,-0.573,0.573
0.767,-0.61,0.609
0.785,-0.666,0.666
0.812,-0.755,0.755
0.825,-0.8,0.799
0.836,-0.838,0.837
0.847,-0.875,0.874
0.85,-0.887,0.887
0.855,-0.906,0.905
0.863,-0.934,0.933
0.875,-0.976,0.975
0.889,-1.028,1.027
0.91,-1.109,1.108
0.941,-1.236,1.235
0.954,-1.289,1.288
0.966,-1.339,1.338
0.978,-1.394,1.393
0.995,-1.469,1.468
1.02,-1.584,1.583
1.056,-1.758,1.757
1.063,-1.794,1.793
1.074,-1.849,1.848
1.09,-1.932,1.931
1.115,-2.061,2.059
1.152,-2.261,2.259
1.176,-2.402,2.399
1.2,-2.541,2.538
1.211,-2.605,2.602
1.227,-2.702,2.699
1.242,-2.793,2.79
1.256,-2.88,2.877
1.273,-2.987,2.985
1.299,-3.151,3.148
1.303,-3.178,3.175
1.309,-3.218,3.215
1.318,-3.279,3.276
1.332,-3.372,3.368
1.353,-3.511,3.508
1.384,-3.725,3.721
1.428,-4.042,4.038
1.468,-4.338,4.333
1.518,-4.721,4.716
1.568,-5.12,5.114
1.618,-5.534,5.528
1.656,-5.859,5.852
1.706,-6.299,6.292
1.756,-6.755,6.747
1.806,-7.225,7.217
1.821,-7.369,7.361
1.834,-7.495,7.486
1.847,-7.621,7.612
# Event BURNOUT occurred at t=1.86 seconds
1.86,-7.746,7.737
1.88,-7.933,7.924
1.909,-8.209,8.2
1.946,-8.556,8.546
1.97,-8.78,8.769
2.007,-9.111,9.099
2.032,-9.335,9.324
2.068,-9.649,9.637
2.087,-9.817,9.804
2.103,-9.947,9.934
2.125,-10.141,10.128
2.155,-10.395,10.381
2.171,-10.527,10.513
2.195,-10.724,10.71
2.231,-11.015,11
2.263,-11.27,11.255
2.31,-11.647,11.632
2.338,-11.864,11.847
2.351,-11.962,11.946
2.367,-12.08,12.063
2.39,-12.255,12.238
2.407,-12.386,12.369
2.418,-12.469,12.451
2.428,-12.54,12.523
2.438,-12.613,12.596
2.449,-12.7,12.682
2.467,-12.83,12.812
2.493,-13.022,13.004
2.506,-13.114,13.095
2.517,-13.193,13.174
2.528,-13.27,13.251
2.54,-13.359,13.34
2.559,-13.492,13.473
2.587,-13.69,13.67
2.601,-13.787,13.767
2.614,-13.877,13.857
2.633,-14.006,13.986
2.661,-14.198,14.177
2.691,-14.399,14.378
2.734,-14.686,14.664
2.784,-15.013,14.991
2.834,-15.335,15.311
2.884,-15.651,15.626
2.934,-15.961,15.936
2.984,-16.266,16.24
3.034,-16.566,16.539
3.066,-16.752,16.725
3.113,-17.029,17.001
3.133,-17.144,17.115
3.15,-17.245,17.216
3.171,-17.363,17.334
3.203,-17.539,17.51
3.226,-17.672,17.642
3.248,-17.79,17.76
3.275,-17.939,17.909
3.305,-18.107,18.076
3.351,-18.356,18.324
3.396,-18.596,18.564
3.446,-18.86,18.826
3.496,-19.118,19.084
3.546,-19.374,19.339
3.596,-19.625,19.589
3.646,-19.873,19.837
3.696,-20.119,20.082
3.746,-20.362,20.324
3.792,-20.586,20.547
3.842,-20.823,20.784
3.862,-20.914,20.874
3.879,-20.997,20.957
3.899,-21.087,21.046
3.923,-21.197,21.156
3.959,-21.362,21.32
4.009,-21.588,21.545
4.03,-21.681,21.639
4.061,-21.822,21.779
4.108,-22.031,21.987
4.158,-22.251,22.206
4.208,-22.469,22.424
4.245,-22.627,22.581
4.267,-22.722,22.675
4.3,-22.862,22.815
4.35,-23.071,23.023
4.39,-23.238,23.189
4.415,-23.343,23.294
4.441,-23.449,23.399
4.47,-23.572,23.522
4.515,-23.756,23.705
4.565,-23.961,23.909
4.598,-24.097,24.045
4.622,-24.192,24.14
4.643,-24.274,24.222
4.662,-24.352,24.299
4.684,-24.436,24.383
4.709,-24.536,24.483
4.742,-24.663,24.608
4.782,-24.816,24.761
4.832,-25.006,24.951
4.882,-25.195,25.139
4.929,-25.374,25.316
4.979,-25.561,25.502
5.029,-25.746,25.687
5.079,-25.931,25.871
5.129,-26.114,26.053
5.179,-26.296,26.234
5.229,-26.476,26.414
5.279,-26.654,26.592
5.329,-26.831,26.768
5.379,-27.007,26.942
5.429,-27.181,27.116
5.479,-27.353,27.287
5.529,-27.525,27.458
5.579,-27.695,27.627
5.629,-27.863,27.795
5.679,-28.031,27.962
5.729,-28.197,28.127
5.779,-28.363,28.292
5.829,-28.527,28.456
# Event APOGEE occurred at t=5.879 seconds
5.879,-28.691,28.619
5.929,-28.854,28.781
5.979,-29.016,28.942
6.029,-29.177,29.103
6.078,-29.335,29.26
6.127,-29.489,29.413
6.174,-29.641,29.564
